Designator,Mid X,Mid Y,Rotation,Layer
ATTACK1,167.5,-93.675,0.0,top
DENSITY1,128.0,-93.675,0.0,top
GAIN1,207.5,-114.675,0.0,top
GRAIN_LENGTH1,127.5,-115.175,0.0,top
J1,108.19,-53.73,90.0,bottom
LOOP_END1,107.75,-115.175,0.0,top
LOOP_START1,107.75,-93.675,0.0,top
PAN1,187.25,-114.9,0.0,top
PITCH1,207.5,-93.675,0.0,top
PLAY_SPEED1,147.5,-93.675,0.0,top
R1,118.5,-66.75,270.0,bottom
R2,137.75,-66.75,270.0,bottom
R3,157.0,-66.75,270.0,bottom
R4,176.25,-66.75,270.0,bottom
RELEASE1,167.5,-115.175,0.0,top
S1,108.78,-67.16,0.0,top
S2,128.08,-67.16,0.0,top
S3,147.4,-67.16,0.0,top
S4,166.72,-67.16,0.0,top
SPRAY1,147.5,-115.175,0.0,top
SPREAD1,187.25,-93.675,0.0,top
U1,207.24,-69.24,0.0,bottom
U3,187.81,-69.19,0.0,bottom
